127.0.0.1 - - [15/Sep/2021:11:16:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:16:21 +0900] "GET /myhome/ HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:16:21 +0900] "GET /myhome/resources/css/basic.css HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:16:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:16:23 +0900] "GET /myhome/joinForm HTTP/1.1" 200 2740
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:16:26 +0900] "GET /myhome/loginForm HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:16:35 +0900] "GET /myhome/login?id=test01&password=test01123 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:16:36 +0900] "GET /myhome/index HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:16:43 +0900] "GET /myhome/list HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:16:44 +0900] "GET /myhome/view?seq=8&start=0 HTTP/1.1" 200 5064
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:16:44 +0900] "GET /myhome/resources/img/thumb_up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:16:44 +0900] "GET /myhome/resources/img/thumb_down.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:16:51 +0900] "GET /myhome/recommend?seq=18 HTTP/1.1" 500 17716
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:19:26 +0900] "GET /myhome/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:19:26 +0900] "GET /myhome/index HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:19:26 +0900] "GET /myhome/loginForm HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:19:34 +0900] "GET /myhome/login?id=test01&password=test01123 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:19:35 +0900] "GET /myhome/index HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:19:39 +0900] "GET /myhome/list HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:19:40 +0900] "GET /myhome/view?seq=8&start=0 HTTP/1.1" 200 5064
0:0:0:0:0:0:0:1 - - [15/Sep/2021:11:19:43 +0900] "GET /myhome/recommend?seq=18 HTTP/1.1" 500 17720
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:44:07 +0900] "GET /myhome/list HTTP/1.1" 200 1681
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:44:09 +0900] "GET /myhome/loginForm HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:44:14 +0900] "GET /myhome/login?id=test01&password=test01123 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:44:15 +0900] "GET /myhome/index HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:44:18 +0900] "GET /myhome/list HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:44:20 +0900] "GET /myhome/view?seq=8&start=0 HTTP/1.1" 200 5064
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:44:23 +0900] "GET /myhome/recommend?seq=18 HTTP/1.1" 500 17720
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:53:43 +0900] "GET /myhome/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:53:43 +0900] "GET /myhome/index HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:53:44 +0900] "GET /myhome/loginForm HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:53:53 +0900] "GET /myhome/login?id=test01&password=test01123 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:53:54 +0900] "GET /myhome/index HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:53:59 +0900] "GET /myhome/myPage HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:54:01 +0900] "GET /myhome/list HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:54:02 +0900] "GET /myhome/view?seq=8&start=0 HTTP/1.1" 200 5064
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:54:05 +0900] "GET /myhome/recommend?seq=18 HTTP/1.1" 500 17720
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:59:00 +0900] "GET /myhome/index HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:59:01 +0900] "GET /myhome/list HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:59:03 +0900] "GET /myhome/view?seq=8&start=0 HTTP/1.1" 200 5148
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:59:06 +0900] "GET /myhome/recommend?seq=18&id=test01 HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [15/Sep/2021:12:59:09 +0900] "GET /myhome/view?seq=8 HTTP/1.1" 200 5147
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:00:25 +0900] "GET /myhome/recommend?seq=18&id=test01 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [15/Sep/2021:13:00:32 +0900] "GET /myhome/decommend?seq=18&id=test01 HTTP/1.1" 200 14
