127.0.0.1 - - [19/Sep/2021:16:38:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Sep/2021:16:38:18 +0900] "GET /myhome/ HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [19/Sep/2021:16:38:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:16:59:27 +0900] "GET /myhome/ HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [19/Sep/2021:16:59:27 +0900] "GET /myhome/resources/css/basic.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:02:02 +0900] "GET /myhome/ HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:02:11 +0900] "GET /myhome/view?seq=8&start= HTTP/1.1" 200 5823
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:02:11 +0900] "GET /myhome/resources/js/boardView.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:02:11 +0900] "GET /myhome/resources/js/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:02:11 +0900] "GET /myhome/resources/img/thumb_up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:02:11 +0900] "GET /myhome/resources/img/thumb_down.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:02:11 +0900] "GET /myhome/resources/img/good.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:02:11 +0900] "GET /myhome/resources/img/bad.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:02:16 +0900] "GET /myhome/list?start= HTTP/1.1" 500 3807
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:02:20 +0900] "GET /myhome/list HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:02:48 +0900] "GET /myhome/index HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:02:49 +0900] "GET /myhome/view?seq=8&start=0 HTTP/1.1" 200 5824
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:02:51 +0900] "GET /myhome/list?start=0 HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:03:00 +0900] "GET /myhome/list HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:03:05 +0900] "GET /myhome/index HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:09:00 +0900] "GET /myhome/list HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:09:01 +0900] "GET /myhome/index HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:09:02 +0900] "GET /myhome/list HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:09:02 +0900] "GET /myhome/joinForm HTTP/1.1" 200 2740
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:09:03 +0900] "GET /myhome/loginForm HTTP/1.1" 200 1208
